date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
08/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Capital One,NC,27614,,,Fax,09/03/2013,Closed with explanation,Yes,Yes,511084
08/30/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,TX,78244,,,Fax,09/03/2013,Closed with explanation,Yes,Yes,510129
09/24/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NJ,7307,,,Fax,09/25/2013,Closed with explanation,Yes,No,540608
09/10/2013,Debt collection,Non-federal student loan,Disclosure verification of debt,Not given enough info to verify debt,,,"MRS BPO, L.L.C.",FL,33903,,,Fax,09/10/2013,Closed with non-monetary relief,Yes,Yes,521469
08/30/2013,Credit card,,Billing disputes,,,,Discover,FL,32250,,,Fax,09/04/2013,Closed with monetary relief,Yes,No,510131
08/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,NE,75571,"Older American, Servicemember",,Fax,09/03/2013,Closed with explanation,Yes,Yes,511236
09/24/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,Encore Capital Group,CA,92108,,,Fax,09/25/2013,Closed with non-monetary relief,Yes,No,540533
09/24/2013,Credit card,,Late fee,,,,Capital One,OH,44601,,,Fax,09/25/2013,Closed with monetary relief,Yes,No,541250
09/24/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,FL,33484,,,Fax,09/26/2013,Closed with explanation,Yes,Yes,539671
08/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Standard Mortgage Corporation,LA,70072,,,Fax,09/03/2013,Closed with explanation,Yes,No,511344
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,MI,48382,,,Fax,09/18/2013,Closed with explanation,Yes,Yes,530099
08/31/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,HSBC North America Holdings Inc.,FL,33138,,,Fax,09/03/2013,Closed with explanation,Yes,No,510125
09/24/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,95503,,,Fax,09/25/2013,Closed with explanation,Yes,No,539427
09/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,CT,6002,,,Fax,09/18/2013,Closed with explanation,Yes,No,531706
09/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,,,Encore Capital Group,IL,60491,,,Fax,10/22/2013,Closed with explanation,Yes,No,520915
09/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",IL,60491,,,Fax,09/23/2013,Closed with explanation,Yes,No,520916
09/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,IL,60491,,,Fax,09/23/2013,Closed with non-monetary relief,Yes,No,520917
09/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",CT,6851,,,Fax,11/05/2013,Closed with non-monetary relief,Yes,No,531113
09/17/2013,Credit card,,Rewards,,,,HSBC North America Holdings Inc.,NC,28078,,,Fax,09/18/2013,Closed with monetary relief,Yes,No,530203
